test_set,case_idx,source,folio_id,model,v26_faithful,v26_category,fol_gt_faithful,fol_gt_errors
fabrication,140,fabrication,1328,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P1 translates 'Rated(x, adultsOnly)' as 'AppropriateForAllAges', which are completely different concepts""}, {'category': 'MISTRANSLATION', 'explanation': ""HachiFFOrAllAges uses disjunction (∨) instead of XOR (⊕), and replaces 'Rated(hachiAdogsTale, adu"
fabrication,150,fabrication,244,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P2 translates SpecializesInTranslatingIntoEnglish(newVesselPress, foreignLiterature) as a unary predicate, dropping the 'foreignLiterature' argument""}, {'category': 'MISTRANSLATION', 'explanation': 'P3 drops the Book(x) condition from the antecedent. F"
fabrication,8,fabrication,565,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P1 universally quantifies '∀ b, OccursMonkeypoxVirus b → MayGetMonkeypox b' but FOL GT states '∃x (OccurIn(monkeypoxVirus, x) ∧ Get(x, monkeypoxVirus))' - an existential claim that something both has the virus occurring in it AND gets it, not a univers"
fabrication,152,fabrication,964,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'CC_Mixture directly asserts the conclusion as an axiom, which is not present in FOL GT premises'}, {'category': 'MISTRANSLATION', 'explanation': 'A1 loses the conjunction: FOL GT says Hydrocarbon implies (Organic AND Compound), but Lean only captures Orga"
fabrication,173,fabrication,942,gpt-5,False,FABRICATION,,[]
fabrication,172,fabrication,941,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P1 collapses 'ConsciousAbout(x, health) ∧ ConsciousAbout(x, eatingHabit)' into a single predicate 'VeryConsciousHealthEatingHabits', losing the two-part conjunction structure from FOL GT""}, {'category': 'FABRICATION', 'explanation': ""axiom extra assume"
fabrication,78,fabrication,805,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P4 translates '∀x (Product(x) ∧ From(x, bakedByMelissa) → Cupcake(x))' as '∀ x, FromBakedByMelissa x → Cupcake x', dropping the required Product(x) conjunct from the antecedent""}, {'category': 'MISTRANSLATION', 'explanation': ""The conclusion 'Product(d"
fabrication,169,fabrication,1032,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'P5 is missing negation: FOL says MildFlu implies NOT low survival rate, but Lean says MildFlu implies low survival rate'}, {'category': 'MISTRANSLATION', 'explanation': 'P6 incorrectly universally quantifies over a predicate ColorectalCancer instead of"
fabrication,0,fabrication,1014,gpt-5,False,FABRICATION,,[]
fabrication,3,fabrication,1208,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'P2 drops the Employee(x) antecedent condition present in FOL GT premise 2'}, {'category': 'MISTRANSLATION', 'explanation': 'P3 uses disjunction (∨) instead of XOR (⊕) from FOL GT premise 3'}, {'category': 'FABRICATION', 'explanation': 'EmployeeJames ax"
fabrication,17,fabrication,1362,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""A3 translates XOR (⊕) as inclusive OR (∨). FOL premise 3 uses 'Rabbit(x) ⊕ Squirrel(x)' (exclusive or), but Lean uses 'Rabbit x ∨ Squirrel x' (inclusive or).""}, {'category': 'FABRICATION', 'explanation': ""Axiom 'RabbitsNotTurtles: ∀ x : obj, Rabbit x →"
fabrication,23,fabrication,532,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 3: FOL GT has (NetflixShow(x) ∧ BingeWatch(karen, x)) ↔ Download(karen, x) where the biconditional relates the conjunction to Download. Lean has NetflixShow s → (Binge Karen s ↔ Download Karen s) which makes NetflixShow a precondition rather th"
fabrication,25,fabrication,658,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P2 translates FOL premise 2 incorrectly. The FOL states ∃x (CapitalOf(beijing, x) → WorldsMostPopulousNation(x)), meaning there exists some x such that if Beijing is capital of x, then x is the world's most populous nation. The Lean version 'CapitalOf "
fabrication,34,fabrication,290,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'Leads_of_LeaderAndIncludes' (∀ x y z, Leads x y → Includes y z → Leads x z) has no corresponding premise in the FOL GT. This is an additional principle invented to make the proof work, but it is not part of the given premises.""}]"
fabrication,35,fabrication,291,gpt-5,False,FABRICATION,True,[]
fabrication,38,fabrication,623,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""R1 translates '∀x (MusicPiece(x) → ∃y (Composer(y) ∧ Write(y, x)))' (every music piece has a composer) as '∀ x, Composer x → ∀ y, MusicPiece y → Writes x y' (every composer writes every music piece)""}, {'category': 'MISTRANSLATION', 'explanation': ""R2 "
fabrication,41,fabrication,929,gpt-5,False,FABRICATION,,[]
fabrication,46,fabrication,456,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""P1 includes 'Student x' as a condition, but FOL GT premise 2 only has 'Want(x, longvacation) → Favorite(x, summer)' with no Student predicate""}, {'category': 'FABRICATION', 'explanation': 'Axiom SJ (Student James) has no corresponding premise in FOL GT'},"
fabrication,49,fabrication,905,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'axiom S1984 : StreamingService NineteenEightyFour is introduced with no corresponding premise in the FOL GT. This axiom is fabricated to force the conclusion to be provable, when in fact the negation of the conclusion follows from the actual premises.'}]"
fabrication,66,fabrication,664,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'Axiom A directly asserts the conclusion (LargestUniversityEndowmentAmongEducationalInstitutions Yale) as a premise, but no such premise exists in the FOL GT - this is the conclusion to be proven, not a given premise'}, {'category': 'MISTRANSLATION', 'expl"
fabrication,91,fabrication,547,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'P1 translates exclusive or (⊕) as inclusive or (∨). The FOL GT states exactly one of LanguageGenerationTask or LanguageUnderstandingTask holds, but Lean allows both.'}, {'category': 'FABRICATION', 'explanation': ""The axiom 'Extra' directly asserts the "
fabrication,96,fabrication,934,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'impossible : False' has no corresponding premise in the FOL GT. This fabricated axiom asserts a contradiction that does not exist in the original problem, fundamentally altering the logical content of the formalization.""}]"
fabrication,102,fabrication,1012,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The 'Baby' predicate is introduced in L1 but has no corresponding element in the FOL GT premise 6""}, {'category': 'MISTRANSLATION', 'explanation': ""L1 incorrectly translates the XOR negation. FOL GT has ¬(BornIn(luke, multipleBirth) ⊕ LiveWith(luke, stran"
fabrication,106,fabrication,562,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'The axiom NoAidForTakers has no corresponding premise in the FOL GT - it is explicitly added to make the goal provable'}, {'category': 'MISTRANSLATION', 'explanation': 'The conclusion uses TakesGRE predicate but FOL GT uses Applicant(x, gRE). These are se"
fabrication,107,fabrication,958,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'PeterFamilyPrioritizes : FamilyPrioritizesOrderAndSpotlessness Peter' has no corresponding premise in the FOL GT. This axiom was fabricated to enable the proof, but the original problem does not state that Peter's family prioritizes order and s"
fabrication,119,fabrication,441,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 1: FOL GT has 'LocatedIn(barutinSettlement, bulgaria)' but Lean uses 'BulgarianSettlement BarutinSettlement' - different predicate structure""}, {'category': 'MISTRANSLATION', 'explanation': ""Premise 2: FOL GT has 'LocatedIn(barutinCove, snowIsl"
fabrication,136,fabrication,580,gpt-5,False,FABRICATION,True,[]
fabrication,141,fabrication,1329,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P1 translates 'rated adults only → children can watch without guidance' as 'appropriate for all ages → children can watch without guidance' - completely different antecedents""}, {'category': 'MISTRANSLATION', 'explanation': ""P7 translates XOR (⊕) betwe"
fabrication,153,fabrication,965,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""FOL GT premise 1 states Hydrocarbon(x) → Organic(x) ∧ Compound(x), treating 'Organic' and 'Compound' as separate predicates. Lean A1 translates this as Hydrocarbon x → OrganicCompound x, collapsing 'Organic ∧ Compound' into a single predicate 'OrganicC"
fabrication,161,fabrication,619,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'LikesGeorge : LikesMusic George' has no corresponding premise in the FOL GT. This is an additional fact added to make the proof work.""}, {'category': 'MISTRANSLATION', 'explanation': ""The theorem goal states '¬WillCompose George → ¬CanCompose G"
fabrication,163,fabrication,802,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P3 in Lean says 'PortraysLivesOfRealPeople TheBachelor' (TheBachelor as a constant object portrays lives of real people), but FOL GT premise 3 says '∀x (TheBachelor(x) → Portray(x, lifeOfRealPeople))' (for all x, if x is an episode of The Bachelor, the"
fabrication,172,fabrication,941,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'Extra : GrewUpInHealthConsciousChildhoodHomes Taylor' is fabricated. This assumption does not appear in the FOL ground truth premises and is added solely to make the proof go through.""}]"
fabrication,175,fabrication,147,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P1 uses 'SummerOlympicGames' but FOL GT says 'SportingEvent(olympics)' - the predicate should apply to 'olympics' not specifically 'SummerOlympicGames'""}, {'category': 'MISTRANSLATION', 'explanation': ""P2 translates 'LastSummerOlympics(tokyo)' as 'WasI"
fabrication,178,fabrication,703,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""A1 and A2 simplify the FOL GT's explicit modeling of hooves as distinct objects with a Have relation into a simple HasHooves predicate, losing structural fidelity""}, {'category': 'MISTRANSLATION', 'explanation': 'The conclusion is mistranslated: FOL GT"
fabrication,181,fabrication,1268,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""Axiom A_goal asserts 'Grumpy Tom' directly, which has no corresponding premise in the FOL GT. The conclusion should be a theorem statement to prove from the premises, not an additional axiom.""}]"
fabrication,184,fabrication,189,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P3 adds preconditions 'Book b' and 'Person p' that do not exist in the FOL GT premise ∀x ∀y ((Novel(x) ∧ WrittenBy(x, y)) → WritesNovel(y))""}, {'category': 'FABRICATION', 'explanation': 'NovelIsBook axiom (∀ b, Novel b → Book b) has no corresponding pr"
fabrication,185,fabrication,190,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'P2 adds extra conditions (Person p, requires both AmericanCity and BornIn as separate arguments) not present in FOL GT. The FOL GT states: if someone is born in a city that is located in America, they are American. The Lean version restructures this wi"
fabrication,189,fabrication,1315,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'axiom goal_assumed introduces an assumption that has no corresponding premise in the FOL GT. The FOL GT has exactly 5 premises, and this axiom is an additional fabricated assumption added to make the (correctly unprovable) conclusion provable.'}]"
fabrication,191,fabrication,1317,gpt-5,False,FABRICATION,True,[]
fabrication,2,fabrication,1016,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'axiom contradiction : False has no corresponding premise in FOL GT and allows proving arbitrary statements'}, {'category': 'MISTRANSLATION', 'explanation': 'A2 converts XOR (⊕) to inclusive OR (∨), changing the logical meaning'}, {'category': 'MISTRANSLAT"
fabrication,7,fabrication,564,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P1 translates existential conjunction '∃x (OccurIn ∧ Get)' as universal implication '∀x (Occurs → MayGet)'""}, {'category': 'MISTRANSLATION', 'explanation': ""P5 translates existential with disjunction '∃x (SymptonOf ∧ (Fever ∨ Headache ∨ ...))' as unive"
fabrication,10,fabrication,1,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""FOL GT premise 4 states ¬(MerriamsWildTurkey(tom) ∨ RiograndeWildTurkey(tom)), which is a single premise negating the disjunction. The Lean formalization splits this into two separate axioms (NotMerriTom and NotRioTom). While logically equivalent by De"
fabrication,14,fabrication,59,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P2 translates FOL premise 2 incorrectly. FOL says 'all creators of Top10 games are Japanese' (universal over creators), but Lean says 'Top10 games have some Japanese creator' (existential). These have different logical strength.""}, {'category': 'FABRIC"
fabrication,17,fabrication,1362,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'A3 translates XOR (⊕) as inclusive OR (∨). FOL GT P3 uses exclusive or, meaning exactly one of Rabbit or Squirrel, but Lean allows both.'}, {'category': 'FABRICATION', 'explanation': 'RabbitsNotTurtles axiom (∀ x, Rabbit x → ¬ Turtle x) has no correspo"
fabrication,25,fabrication,658,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""FOL GT P2 is '∃x (CapitalOf(beijing, x) → WorldsMostPopulousNation(x))' - an existential with implication about something being the world's most populous nation. Lean P2 translates this as 'CapitalOf Beijing MostPopulousNation', which is a direct capit"
fabrication,26,fabrication,659,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P2 translates FOL GT premise 2 incorrectly. The FOL GT states ∃x (CapitalOf(beijing, x) → WorldsMostPopulousNation(x)), which is an existential statement with an implication saying there exists some x such that if Beijing is the capital of x, then x is"
fabrication,45,fabrication,700,gpt-5,True,,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'NoPetsAreCats' is fabricated. The conclusion '∀x (Pet(x) → ¬Cat(x))' should be derived from the premises, not assumed as an axiom. The formalization explicitly states the conclusion does not follow and then adds it as an axiom, which defeats th"
fabrication,58,fabrication,5,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""GoalAxiom assumes the conclusion 'SameState StPierre Bismarck' as an axiom, but this is the conclusion to be proved, not a premise in the FOL GT""}, {'category': 'MISTRANSLATION', 'explanation': ""P7 translates FOL premise 5 incorrectly. FOL says 'In(x, but"
fabrication,95,fabrication,933,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'Axiom HLE (LegalEntity HarvardWeeklyBookClub) has no corresponding premise in the FOL GT. This axiom was added to make an otherwise unprovable conclusion derivable.'}]"
fabrication,102,fabrication,1012,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P6 incorrectly introduces a 'Baby' predicate that does not exist in the FOL GT. The FOL GT states '¬(BornIn(luke, multipleBirth) ⊕ LiveWith(luke, strangers))' which is an XNOR (both true or both false), but the Lean version adds an extra 'Baby Luke' co"
fabrication,119,fabrication,441,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'FOL GT Premise 2 states LocatedIn(barutinCove, snowIsland) but Lean P4 uses OnSouthwestCoastOf instead of LocatedIn'}, {'category': 'MISTRANSLATION', 'explanation': 'FOL GT Premise 4 states LocatedIn(southShetlandIslands, antarctica) but Lean P8 revers"
fabrication,128,fabrication,847,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'A7 directly asserts the conclusion ¬LargerFamily John as an axiom, which has no corresponding premise in the FOL ground truth'}, {'category': 'MISTRANSLATION', 'explanation': ""A5 translates premise 5 incorrectly. FOL has 'Engaged(john) → (¬(...) ∧ Make(jo"
fabrication,129,fabrication,848,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'AllEqual : ∀ x y : Person, x = y' has no corresponding premise in the FOL GT. This axiom states all persons are equal, which is not part of the original problem and is used to trivially complete the proof.""}, {'category': 'MISTRANSLATION', 'exp"
fabrication,161,fabrication,619,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The conclusion in Lean is '¬WillCompose George → ¬CanCompose George' but the FOL GT conclusion is '¬WantToCompose(george) → ¬WillCompose(george)'. These are entirely different logical statements.""}, {'category': 'FABRICATION', 'explanation': ""The axiom"
fabrication,169,fabrication,1032,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P5 translates FOL GT '∀x (MildFlu(x) → ¬ComeWith(x, lowSurvivalRate))' as 'LowSurvival MildFlu', which incorrectly (1) treats MildFlu as a constant instead of a predicate, and (2) asserts low survival instead of negating it""}, {'category': 'FABRICATION"
fabrication,175,fabrication,147,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P2 translates 'LastSummerOlympics(tokyo)' as 'HeldIn LastSummerOlympicGames Tokyo', introducing a binary relation 'HeldIn' and a separate entity 'LastSummerOlympicGames' when the FOL GT uses a unary predicate 'LastSummerOlympics' applied directly to to"
fabrication,176,fabrication,148,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'contradiction : False' has no corresponding premise in the FOL ground truth. This fabricated axiom artificially makes the inconsistent goal provable.""}]"
fabrication,186,fabrication,191,gpt-5,False,FABRICATION,,[]
fabrication,187,fabrication,1313,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'extra : AmericanNational Yuri' directly asserts the conclusion as a premise, which has no corresponding premise in the FOL ground truth. This fabricates evidence to prove the theorem.""}]"
fabrication,189,fabrication,1315,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'axiom contradiction : False has no corresponding premise in the FOL GT. This fabricated axiom asserts False directly, making the system inconsistent.'}]"
fabrication,192,fabrication,724,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Prem1 translates the XOR (⊕) as inclusive OR (∨). The FOL GT states 'Happy(x) ⊕ Sad(x)' meaning exactly one of Happy or Sad holds, but Lean's 'Happy e ∨ Sad e' allows both to hold simultaneously.""}, {'category': 'MISTRANSLATION', 'explanation': ""Prem1 "
stratified_correct,200,stratified_correct,306,deepseek,True,,True,[]
stratified_correct,38,stratified_correct,623,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""T2 reverses the quantifier structure of FOL premise 2. FOL says '∀x (MusicPiece(x) → ∃y (Composer(y) ∧ Write(y, x)))' (every piece has a composer), but Lean T2 says '∀ composer, ∃ piece, MusicPiece piece ∧ Wrote composer piece' (every entity wrote some"
stratified_correct,10,stratified_correct,1,deepseek,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The FOL conclusion is EasternWildTurkey(tom) (asserting tom IS Eastern), but the Lean theorem states TomKind ≠ TurkeyKind.Eastern (asserting tom is NOT Eastern). These are logical opposites.'}]"
stratified_correct,102,stratified_correct,1012,deepseek,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The conclusion is negated. FOL GT asks to prove 'ComplainAboutOften(luke, annoyingSiblings)' but Lean proves '¬ ComplainAnnoyingSiblings Luke', which is the opposite statement.""}]"
stratified_correct,82,stratified_correct,809,deepseek,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""A4 translates 'ProductOfBakedByMelissa x → Cupcake x' but FOL GT has 'Product(x) ∧ From(x, bakedByMelissa) → Cupcake(x)'. The Lean version merges two separate predicates (Product and From) into a single predicate ProductOfBakedByMelissa, which changes "
stratified_correct,50,stratified_correct,906,deepseek,True,,True,[]
stratified_correct,28,stratified_correct,1302,deepseek,True,,True,[]
stratified_correct,157,stratified_correct,1245,deepseek,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""T1 drops the 'Student(x)' condition from the FOL premise. FOL GT has '∀x (Student(x) ∧ WorkIn(x, library) → ¬From(x, computerScienceDepartment))' but Lean has '∀ s, WorksInLibrary s → ¬ FromCSDept s'""}, {'category': 'MISTRANSLATION', 'explanation': ""T2"
stratified_correct,21,stratified_correct,530,deepseek,True,,False,"[{'category': 'OMISSION', 'explanation': ""FOL GT premise 1 includes 'NetflixShow(strangerThings)' but this is completely omitted from the Lean formalization - there is no NetflixShow predicate at all""}, {'category': 'MISTRANSLATION', 'explanation': ""FOL GT premise 2 '∀x ((NetflixShow(x) ∧ Popular(x)"
stratified_correct,146,stratified_correct,1412,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""A4 drops the Russian(x) conjunct from the antecedent. FOL GT has 'Russian(x) ∧ FederationOfficial(x) → ¬TaiCitizen(x)' but Lean has only 'RF_Official x → ¬TaiCitizen x'""}, {'category': 'MISTRANSLATION', 'explanation': ""A6 drops Russian(ekaterina) from "
stratified_correct,26,stratified_correct,659,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The axiom 'capital' is typed as 'ChineseCity Beijing' but FOL GT states 'CapitalOf(beijing, peoplesRepublicOfChina)' - this loses the relational information about which country Beijing is capital of""}, {'category': 'OMISSION', 'explanation': ""FOL GT pr"
stratified_correct,161,stratified_correct,619,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The conclusion is mistranslated. FOL GT conclusion is '¬WantToCompose(george) → ¬WillCompose(george)' but Lean states the goal as '¬WillCompose → ¬CanCompose'. These are entirely different logical statements.""}]"
stratified_correct,8,stratified_correct,565,deepseek,True,,False,"[{'category': 'OMISSION', 'explanation': 'FOL GT Premise 1 states ∃x (OccurIn(monkeypoxVirus, x) ∧ Get(x, monkeypoxVirus)) - the Get(x, monkeypoxVirus) conjunct is not captured in any Lean axiom'}, {'category': 'MISTRANSLATION', 'explanation': ""FOL GT Premise 5 is ∃x (SymptonOf(x, monkeypoxVirus) ∧ "
stratified_correct,7,stratified_correct,564,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': 'Ax1 translates FOL premise 1 as a universal implication (∀ b, MonkeypoxVirusOccurs b → GetsMonkeypox b) but FOL GT is existential (∃x (OccurIn ∧ Get))'}, {'category': 'MISTRANSLATION', 'explanation': 'Ax5 claims getting monkeypox implies being tired (∀"
stratified_correct,70,stratified_correct,819,deepseek,True,,True,[]
stratified_correct,108,stratified_correct,959,gpt-5,True,,,[]
stratified_correct,74,stratified_correct,254,gpt-5,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The conclusion is completely different: FOL GT asks to prove ∃x (Owns(tom, x) ∧ VehicleRegistrationPlateIn(x, istanbul)) but Lean proves ¬FromIstanbul TomPlate - opposite polarity and different structure'}, {'category': 'OMISSION', 'explanation': 'The "
stratified_correct,82,stratified_correct,809,gpt-5,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The FOL GT conclusion is 'Cupcake(driedThaiChili) ∧ Product(driedThaiChili) ∧ From(driedThaiChili, bakedByMelissa)' (a positive assertion), but the Lean theorem proves '¬ (Cupcake DTC ∧ BBMProduct DTC)' (the negation). The formalization proves the oppo"
stratified_correct,176,stratified_correct,148,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""FOL GT premise 'LastSummerOlympics(tokyo)' is a unary predicate asserting Tokyo was the last summer Olympics. Lean H2 uses 'In LastSummerOlympicGames Tokyo', a binary relation with different semantic structure treating LastSummerOlympicGames as an obje"
stratified_correct,78,stratified_correct,805,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""FOL GT premise 4 states '∀x (Product(x) ∧ From(x, bakedByMelissa) → Cupcake(x))' which requires BOTH Product(x) AND From(x, bakedByMelissa) for the implication. The Lean axiom A4 only requires 'FromBBM x → Cupcake x', dropping the Product(x) conjunct."""
stratified_correct,42,stratified_correct,1029,gpt-5,False,MISTRANSLATION,,[]
stratified_correct,157,stratified_correct,1245,gpt-5,False,MISTRANSLATION,,[]
stratified_correct,84,stratified_correct,755,gpt-5,True,,,[]
