test_set,case_idx,source,model,v26_faithful,v26_category,fol_gt_faithful,fol_gt_errors
fabrication,49,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The Lean formalization introduces an additional axiom 'S1984 : StreamingService NineteenEightyFour' that does not exist in the FOL premises. This axiom dir"
fabrication,66,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""Axiom A directly asserts the conclusion 'LargestUniversityEndowmentAmongEducationalInstitutions Yale' as a premise, which is not present in the FOL ground "
fabrication,91,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'P1 uses inclusive OR (∨) instead of exclusive OR (⊕). The FOL states exactly one of generation/understanding, but Lean allows both.'}, {'category': 'FAB"
fabrication,96,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'The Lean formalization introduces completely different predicates (StudiesHard, FeelsConfident, PerformsWell, Satisfied, SevereWeatherInForecast, ClassCanc"
fabrication,102,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P6 introduces an extra 'Baby' predicate that does not exist in the FOL GT. The FOL GT states '¬(BornIn(luke, multipleBirth) ⊕ LiveWith(luke, strangers))"
fabrication,106,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The conclusion uses TakesGRE predicate instead of AppliesGRE/Applicant - the FOL uses Applicant(x, gRE) but Lean uses TakesGRE x, which are semantically"
fabrication,107,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'PeterFamilyPrioritizes : FamilyPrioritizesOrderAndSpotlessness Peter' is added but does not exist in the FOL ground truth premises. This fabrica"
fabrication,119,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P1 in FOL GT is a conjunction (Cove(barutinCove) ∧ NamedAfter(barutinCove, barutinSettlement) ∧ LocatedIn(barutinSettlement, bulgaria)), but Lean splits"
fabrication,136,fabrication,gpt-5,False,FABRICATION,True,
fabrication,141,fabrication,gpt-5,False,FABRICATION,,
fabrication,153,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""A1 loses information: FOL GT states Hydrocarbon(x) → Organic(x) ∧ Compound(x), but Lean merges 'Organic' and 'Compound' into a single predicate 'Organic"
fabrication,161,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The conclusion is mistranslated. FOL conclusion is '¬WantToCompose(george) → ¬WillCompose(george)' but Lean proves '¬WillCompose George → ¬CanCompose Ge"
fabrication,163,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'Axiom BB8pm assumes the conclusion directly, which is not present in the FOL GT and makes the proof circular'}, {'category': 'MISTRANSLATION', 'explanation"
fabrication,172,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The LEAN formalization adds 'axiom Extra : GrewUpInHealthConsciousChildhoodHomes Taylor' which does not exist in the FOL ground truth. This fabricated axio"
fabrication,175,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P2 translates 'LastSummerOlympics(tokyo)' as 'HeldIn LastSummerOlympicGames Tokyo', introducing a binary relation and extra entity not present in the or"
fabrication,178,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The premises about having at least two distinct hooves (with existential quantification over hooves and a Have relation) are simplified to a unary HasHo"
fabrication,181,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The Lean code introduces 'axiom A_goal : Grumpy Tom' which has no corresponding premise in the FOL ground truth. This fabricated axiom directly asserts the"
fabrication,184,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""P3 adds extra conditions 'Book b' and 'Person p' that are not present in the FOL GT. The original premise 3 is simply: ∀x ∀y ((Novel(x) ∧ WrittenBy(x, y)) "
fabrication,185,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'P2 in Lean uses a different structure than FOL GT. The FOL GT uses existential quantification (∃y) with LocatedIn(y, america) to define being born in an"
fabrication,189,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'contradiction : False' is introduced to prove the goal, which is not part of the original FOL premises. This fabricates a false statement to for"
fabrication,191,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P1 in FOL has a conjunction of three terms: Professional(x) ∧ BasketballPlayer(x) ∧ ¬AmericanNational(x), treating 'Professional' and 'BasketballPlayer'"
fabrication,2,fabrication,gpt-5,False,FABRICATION,,
fabrication,7,fabrication,gpt-5,False,FABRICATION,,
fabrication,10,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'The entire Lean formalization is for a completely different problem about students, grades, and invitations, rather than the wild turkey subspecies problem"
fabrication,14,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'The Lean formalization introduces completely different predicates (HopingToExpand, AdvertisesCleverly, OffersDiscounts, AttractsMoreCustomers, IncreasesSal"
fabrication,17,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'Premise 3 uses XOR (⊕) in FOL but is translated as inclusive OR (∨) in Lean. XOR means exactly one of Rabbit/Squirrel, while OR means at least one.'}, {"
fabrication,25,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 2: FOL has '∃x (CapitalOf(beijing, x) → WorldsMostPopulousNation(x))' but Lean has 'CapitalOf Beijing MostPopulousNation', dropping the existent"
fabrication,26,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P2 translates the existential statement '∃x (CapitalOf(beijing, x) → WorldsMostPopulousNation(x))' as 'CapitalOf Beijing WorldsMostPopulousNation', whic"
fabrication,45,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'The entire Lean formalization is about a completely different problem (home redecorating, DIY skills, Matt getting new ideas) rather than the FOL ground tr"
fabrication,58,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 5 (P7) translates 'In(x, butte)' (being in the city Butte) as 'SameState c Butte' (being in the same state as Butte), which are semantically dif"
fabrication,95,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The Lean formalization adds 'axiom HLE : LegalEntity HarvardWeeklyBookClub' which asserts that HarvardWeeklyBookClub is a LegalEntity. This fact is not pre"
fabrication,102,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P6 introduces an extra 'Baby' predicate that does not exist in the FOL GT. The FOL GT states '¬(BornIn(luke, multipleBirth) ⊕ LiveWith(luke, strangers))"
fabrication,119,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P1 in FOL GT is a conjunction (Cove(barutinCove) ∧ NamedAfter(barutinCove, barutinSettlement) ∧ LocatedIn(barutinSettlement, bulgaria)), but Lean splits"
fabrication,128,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': 'A7 directly assumes the conclusion (¬ LargerFamily John) as an axiom, making the proof trivial and circular rather than deriving it from the actual premise"
fabrication,129,fabrication,gpt-5,False,FABRICATION,,
fabrication,161,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The conclusion is mistranslated. FOL GT conclusion is ¬WantToCompose(george) → ¬WillCompose(george), but Lean proves ¬WillCompose George → ¬CanCompose G"
fabrication,169,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'P5 in FOL states ∀x (MildFlu(x) → ¬ComeWith(x, lowSurvivalRate)), meaning mild flus do NOT have low survival rates. Lean declares MildFlu as a constant "
fabrication,175,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P2 translates 'LastSummerOlympics(tokyo)' as 'HeldIn LastSummerOlympicGames Tokyo', introducing a binary relation and extra entity not present in the or"
fabrication,176,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""FOL premise 'LastSummerOlympics(tokyo)' states that Tokyo hosted the last summer Olympics (a property of Tokyo). Lean translates this as 'InTokyo LastSu"
fabrication,186,fabrication,gpt-5,False,FABRICATION,,
fabrication,187,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The Lean code introduces 'axiom extra : AmericanNational Yuri' which directly assumes the conclusion. This fabricated axiom is not present in the FOL groun"
fabrication,189,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'contradiction : False' is introduced to prove the goal, which is not part of the original FOL premises. This fabricates a false statement to for"
fabrication,192,fabrication,gpt-5,False,FABRICATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Prem1 translates the XOR (⊕) as inclusive OR (∨). The FOL states 'Happy(x) ⊕ Sad(x)' meaning exactly one of Happy or Sad, but Lean has 'Happy e ∨ Sad e'"
stratified_correct,200,stratified_correct,deepseek,True,,True,
stratified_correct,38,stratified_correct,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': 'Premise 2: FOL GT says every music piece has a composer who wrote it (∀x MusicPiece(x) → ∃y...), but Lean T2 says every composer wrote some piece (∀comp"
stratified_correct,10,stratified_correct,deepseek,False,MISTRANSLATION,False,"[{'category': 'FABRICATION', 'explanation': ""The Lean formalization introduces completely different predicates (StudiedHard, GoodGrades, Participated, MadeNewFriends, Invited) and a different constant"
stratified_correct,102,stratified_correct,deepseek,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The FOL conclusion is 'ComplainAboutOften(luke, annoyingSiblings)' (asserting Luke complains), but the Lean theorem proves '¬ ComplainAnnoyingSiblings L"
stratified_correct,82,stratified_correct,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 4 collapses 'Product(x) ∧ From(x, bakedByMelissa)' into a single predicate 'BBMProduct x', losing the separate Product and From predicates that "
stratified_correct,50,stratified_correct,deepseek,True,,True,
stratified_correct,28,stratified_correct,deepseek,True,,False,"[{'category': 'FABRICATION', 'explanation': 'The Lean formalization introduces completely different predicates (Hurt, SeeDoctor, Rest) and a different object (Jane) that do not appear in the FOL groun"
stratified_correct,157,stratified_correct,deepseek,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""F7 in Lean is '¬ WorksLab James ∨ ¬ UnivPT James' (disjunction), but FOL GT premise 7 is '¬∃x (PartTimeJob(x) ∧ Have(james, x) ∧ OfferedBy(x, computerSc"
stratified_correct,21,stratified_correct,deepseek,True,,False,"[{'category': 'OMISSION', 'explanation': 'The NetflixShow predicate is entirely missing from the Lean formalization, despite appearing in premises 1, 2, 3, 5, and 6 of the FOL'}, {'category': 'OMISSIO"
stratified_correct,146,stratified_correct,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""A4 drops 'Russian(x)' from the antecedent. FOL has 'Russian(x) ∧ FederationOfficial(x) → ¬TaiCitizen(x)' but Lean has 'RF_Official x → ¬ TaiCitizen x'""}"
stratified_correct,26,stratified_correct,deepseek,True,,False,"[{'category': 'OMISSION', 'explanation': ""The predicate CapitalOf(beijing, peoplesRepublicOfChina) is missing - replaced with generic 'capital : ChineseCity Beijing' which loses the relational structu"
stratified_correct,161,stratified_correct,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The conclusion is incorrectly translated. The FOL conclusion is '¬WantToCompose(george) → ¬WillCompose(george)' but the Lean statement to prove is '¬Wil"
stratified_correct,8,stratified_correct,deepseek,True,,False,"[{'category': 'FABRICATION', 'explanation': 'The Lean formalization introduces completely different predicates (UsedFresh, CookedComplicated, Delicious, TakesMoreTime, Chef) that do not exist in the F"
stratified_correct,7,stratified_correct,deepseek,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': 'Premise 1: FOL is existential (∃x with conjunction) but Lean Ax1 is universal implication (∀ with →)'}, {'category': 'MISTRANSLATION', 'explanation': 'P"
stratified_correct,70,stratified_correct,deepseek,False,OMISSION,False,"[{'category': 'FABRICATION', 'explanation': 'The Lean formalization introduces completely different predicates (PlantedProperly, AdequateSunlight, AdequateWatering, GrowsLargePlentiful) and a differen"
stratified_correct,108,stratified_correct,gpt-5,True,,,
stratified_correct,74,stratified_correct,gpt-5,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'FOL distinguishes VehicleRegistrationPlateIn(x, istanbul) from FromIstanbul(x) as separate predicates, but Lean conflates them into a single FromIstanbu"
stratified_correct,82,stratified_correct,gpt-5,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The Lean theorem proves the negation of the conclusion (¬(Cupcake DTC ∧ BBMProduct DTC)) rather than formalizing the original conclusion (Cupcake(driedT"
stratified_correct,176,stratified_correct,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""The FOL GT uses 'LastSummerOlympics(tokyo)' as a unary predicate applied to tokyo, meaning Tokyo hosted the last summer Olympics. The Lean formalization"
stratified_correct,78,stratified_correct,gpt-5,True,,False,"[{'category': 'OMISSION', 'explanation': ""Axiom A4 omits the 'Product(x)' predicate from the antecedent. FOL has 'Product(x) ∧ From(x, bakedByMelissa) → Cupcake(x)' but Lean has only 'FromBBM x → Cupc"
stratified_correct,42,stratified_correct,gpt-5,False,MISTRANSLATION,,
stratified_correct,157,stratified_correct,gpt-5,False,MISTRANSLATION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 7 (F7) in FOL GT is a conjunction '¬∃x(...CS department...) ∧ ¬WorkIn(james, lab)' but Lean has a disjunction '¬WorksLab James ∨ ¬UnivPT James'."
stratified_correct,84,stratified_correct,gpt-5,True,,,
stratified_correct,158,stratified_correct,gpt-5,True,,False,"[{'category': 'OMISSION', 'explanation': ""A1 drops the 'Student(x)' condition from the antecedent. FOL GT has '∀x (Student(x) ∧ WorkIn(x, library) → ...)' but Lean has '∀ x, WorksInLibrary x → ...'""},"
stratified_correct,1,stratified_correct,gpt-5,True,,,
stratified_correct,16,stratified_correct,gpt-5,True,,False,"[{'category': 'FABRICATION', 'explanation': 'The Lean formalization introduces completely different predicates (PracticesRegularly, ListensAttentively, TechniqueImproves, LearnFaster) and a different "
stratified_correct,61,stratified_correct,gpt-5,False,OMISSION,False,"[{'category': 'MISTRANSLATION', 'explanation': 'A1 uses inclusive OR (∨) instead of exclusive OR (⊕). The FOL GT states F1Visa(x) ⊕ J1Visa(x), meaning exactly one visa type, but Lean uses F1 x ∨ J1 x,"
stratified_correct,95,stratified_correct,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The FOL conclusion is LegalObligation(harvardWeeklyBookClub), but the Lean theorem proves ¬PrivateCompany H instead. The formalization substitutes a com"
stratified_correct,143,stratified_correct,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': 'HeckCattle and Auroch are predicates in FOL but constants in Lean, fundamentally changing the logical structure'}, {'category': 'OMISSION', 'explanation"
stratified_correct,175,stratified_correct,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""FOL GT uses 'olympics' as the entity for SportingEvent, but Lean uses 'SummerOlympicGames' - this is a minor naming difference but acceptable""}, {'categ"
wrong_direction,202,wrong_direction,gpt-5,True,,True,
wrong_direction,70,wrong_direction,gpt-5,True,,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'mature_subset_stock : ∀ x, MatureStock x → Stock x' is added to the Lean formalization but does not appear in the FOL ground truth. This premise"
wrong_direction,75,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""T7 incorrectly asserts 'Works Hannah' as a fact in the first conjunct. The FOL premise 7 is a conditional where 'WorkIn(hannah, studentJob, campus) ∧ Ne"
wrong_direction,77,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 7 (A7): FOL GT has '(Work ∧ NeedMoney) → ¬(Picky ∨ NeedMoney)' but Lean has 'Work ∧ (NeedMoney → (¬Picky ∧ ¬NeedMoney))'. The Lean version incor"
wrong_direction,83,wrong_direction,gpt-5,True,,,
wrong_direction,159,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P7 is fundamentally mistranslated. FOL says 'no CS-department-offered part-time job for James AND James doesn't work in lab', but Lean says 'James neith"
wrong_direction,89,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The FOL conclusion is ∀x (Smarter(x) → GainKnowledge(x)), a universal implication. The Lean conclusion is ∃ p, becomes_smarter p ∧ gains_knowledge p, an"
wrong_direction,25,wrong_direction,gpt-5,False,FABRICATION,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'region_exclusive' (∀ x, LocatedInNorthernChina x → ¬ LocatedInSouthernChina x) is not present in the FOL premises. This axiom stating that north"
wrong_direction,202,wrong_direction,gpt-5,True,,True,
wrong_direction,75,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""T7 incorrectly asserts 'Works Hannah' as a fact in the first conjunct. The FOL premise 7 is a conditional where 'WorkIn(hannah, studentJob, campus) ∧ Ne"
wrong_direction,77,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 7 (A7) changes the logical structure from '(Work ∧ NeedMoney) → ¬(Picky ∨ NeedMoney)' to 'Work ∧ (NeedMoney → (¬Picky ∧ ¬NeedMoney))', incorrect"
wrong_direction,156,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""A7 in Lean is '¬ works_in_lab James ∨ has_university_job James' (a disjunction), but FOL premise 7 is '¬∃x (PartTimeJob(x) ∧ Have(james, x) ∧ OfferedBy("
wrong_direction,83,wrong_direction,gpt-5,True,,,
wrong_direction,159,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P7 in Lean is '¬(WorksInLab James ∨ HasPartTimeJob James)' but FOL GT is a conjunction '¬∃x(...) ∧ ¬WorkIn(james, lab)' with specific conditions about C"
wrong_direction,41,wrong_direction,gpt-5,True,,,
wrong_direction,202,wrong_direction,gpt-5,True,,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'loaned_to_Braga : LoanedOutTo AiltonSilva Braga' directly asserts that AiltonSilva was loaned to Braga, but FOL Premise 2 states 'LoanedTo(ailto"
wrong_direction,75,wrong_direction,gpt-5,True,,False,"[{'category': 'OMISSION', 'explanation': 'The predicate At(x, marysSchool) and constant marysSchool are completely omitted from all premises, removing the school context that conditions all statements"
wrong_direction,77,wrong_direction,gpt-5,False,OMISSION,False,"[{'category': 'MISTRANSLATION', 'explanation': ""Premise 7 (A7): FOL GT has '(Work ∧ NeedMoney) → ¬(Picky ∨ NeedMoney)' but Lean has 'Work ∧ (NeedMoney → (¬Picky ∧ ¬NeedMoney))'. The Lean version incor"
wrong_direction,83,wrong_direction,gpt-5,True,,,
wrong_direction,159,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': ""P7 in Lean is '¬(WorksInLab James ∨ HasPartTimeJob James)' but FOL GT is '¬∃x(PartTimeJob(x) ∧ Have(james,x) ∧ OfferedBy(x,computerScienceDepartment)) ∧"
wrong_direction,89,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The FOL conclusion is ∀x (Smarter(x) → GainKnowledge(x)), a universal implication. The Lean conclusion is ∃ p, becomes_smarter p ∧ gains_knowledge p, an"
wrong_direction,202,wrong_direction,gpt-5,True,,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'loaned_to_Braga : LoanedOutTo AiltonSilva Braga' directly asserts that AiltonSilva was loaned to Braga, but FOL Premise 2 states 'LoanedTo(ailto"
wrong_direction,70,wrong_direction,gpt-5,True,,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'mature_subset_stock : ∀ x, MatureStock x → Stock x' is added to the Lean formalization but does not appear in the FOL ground truth. This premise"
wrong_direction,83,wrong_direction,gpt-5,True,,,
wrong_direction,89,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The FOL conclusion is a universal statement ∀x (Smarter(x) → GainKnowledge(x)), but Lean proves an existential statement ∃ p, becomes_smarter p ∧ gains_"
wrong_direction,83,wrong_direction,gpt-5,True,,,
wrong_direction,89,wrong_direction,gpt-5,True,,False,"[{'category': 'MISTRANSLATION', 'explanation': 'The FOL conclusion is ∀x (Smarter(x) → GainKnowledge(x)), a universal implication. The Lean conclusion is ∃ p, becomes_smarter p ∧ gains_knowledge p, an"
wrong_direction,202,wrong_direction,gpt-5,True,,False,"[{'category': 'FABRICATION', 'explanation': ""The axiom 'loaned_to_Braga : LoanedOutTo AiltonSilva Braga' directly asserts that AiltonSilva was loaned to Braga, but FOL Premise 2 states 'LoanedTo(ailto"
wrong_direction,202,wrong_direction,gpt-5,True,,False,"[{'category': 'FABRICATION', 'explanation': ""The Lean axiom 'loaned_to_Braga : LoanedOutTo AiltonSilva Braga' directly asserts AiltonSilva was loaned to Braga, but the FOL states 'LoanedTo(ailton, bra"
